zipcode,lat,lon,CallerNum_count
37012,36.07367979,-86.03384604,29
37215,48.9683288,14.4862009,29
37387,35.25457175,-85.75555141,28
37135,35.95632318,-86.66861542,28
37398,35.2232403,-86.2427047,28
38049,46.01058885,11.22830865,28
37153,56.21563999,15.65522168,28
37310,47.15230555,0.99826765,27
37352,55.73175636,24.33624627,27
37873,48.95783935,15.5423905,27
38549,36.56989873,-85.15711186,26
38011,36.00281731,129.1977641,26
38558,36.00990543,-84.88402907,26
37681,36.02221433,129.3456299,26
38126,35.1320489,-90.0406625,26
38301,35.6374312,-88.8298638,26
37185,36.10178561,-87.82377747,26
37036,45.41917592,11.08663591,25
37186,51.7008329,9.86356033,25
38184,55.73092626,24.39958844,25
37184,36.09398198,-86.13748097,25
37820,36.0156282,129.3662941,25
37330,47.53081765,0.313757224,24
37366,49.20390049,14.51177843,24
37143,36.11620746,-87.03779588,24
37932,35.9558763,-84.1310253,24
37049,45.15570457,11.35490857,24
37374,36.3759856,128.3816248,23
38320,45.1585726,5.7597562,23
37938,36.10119444,-83.94547633,23
38585,35.74576832,-85.45847157,22
37807,48.87778398,14.94088272,22
37213,41.12885635,-6.653919943,22
37686,36.43920563,-82.34039636,22
37325,35.23730202,-84.59313236,21
38057,35.84507069,129.1740347,21
38079,46.03607912,10.73109329,21
38579,35.82422037,-85.5449357,21
37029,45.50760803,10.89693564,21
37871,49.01249924,15.45047173,21
37766,36.38352842,-84.07974109,20
37691,36.37390174,-81.75826209,20
38232,48.82142369,14.43459786,20
37301,49.1954666,14.34421518,20
38583,35.95545618,-85.45443938,20
38316,36.06670546,-88.80904095,20
38451,48.88725813,13.88788597,20
37324,48.8538649,14.48744438,20
37022,56.11683715,15.56366866,20
37722,35.82550151,-83.23919889,19
37360,47.5297244,0.554958227,19
37658,40.5104064,-6.0096459,19
37716,36.05149784,129.378809,19
37813,36.18727147,-83.27073321,19
38551,36.54187985,-85.50014428,19
37777,35.83365594,-84.01984293,19
37882,49.00386199,15.25462099,18
37711,36.280584,-83.04881501,18
37145,35.15241275,-85.2678141,18
37814,36.278172,-83.2566825,18
38450,45.0502196,5.672774811,17
37774,35.71420504,-84.30821483,17
38305,35.638829,-88.74651,17
37825,49.26542863,14.92440234,17
37810,48.76996362,14.96470987,17
38485,35.33817091,-87.750733,17
37379,35.2391057,-85.18075613,17
37144,56.19610095,15.62083049,16
37375,61.29776852,23.63638255,16
37020,45.63182982,10.97735365,16
37738,35.73295739,-83.47217797,16
37771,35.7947418,-84.2600803,16
38221,48.81223477,14.25400442,16
38468,52.57834345,10.77489541,16
37818,49.02817002,14.88053127,15
37032,45.41470724,11.19091094,15
38256,36.34263977,-88.12304928,15
37605,36.27410548,-82.28847574,15
38562,36.34666091,-85.6457619,15
37725,35.99998524,-83.4060646,15
38066,45.898809,10.84963889,14
37030,45.4948463,11.104588,14
37754,36.11858734,-84.03209299,14
37616,36.06517265,129.3783625,14
38139,35.0625066,-89.7507837,14
37806,48.9198854,14.89754948,14
38310,35.19033435,-88.42642204,14
37150,47.33791299,1.001563108,14
37688,36.03507816,129.3548132,13
38028,45.1939493,5.7316773,13
37690,36.03381182,129.3423274,13
37694,36.03177581,129.3390494,13
37079,51.5472583,9.9090902,13
37737,36.0376618,129.3638066,13
37752,36.57507303,-83.62553852,13
37035,45.5084383,11.2439443,13
37384,35.27258915,-85.11980708,13
38342,36.06880981,-88.28705316,12
37726,36.18585531,-84.82894969,12
38237,36.34188803,-88.85037597,12
37047,45.39549465,11.30316126,12
37415,35.10658085,-85.26891885,12
38042,45.2038396,5.699736,12
37879,35.98436403,129.4021162,12
37134,36.00577031,-87.95744087,12
38555,35.93222115,-85.00151558,12
37343,35.14922485,-85.17838657,12
38012,36.00412302,129.1968594,11
37018,45.7657587,10.8131547,11
37057,45.39025403,11.02809246,11
37059,48.9741374,14.5030002,11
37033,35.78110403,-87.48505908,11
37731,36.03900288,129.3759348,11
37347,36.3063346,128.7878591,11
37657,36.04087317,-82.54141585,11
37318,51.3616784,10.07377971,11
38015,36.00067419,129.1968597,11
37331,35.32472672,-84.53453253,10
38547,52.3918378,10.63195652,10
38060,45.93609395,11.01998419,10
37141,45.47130026,11.06788086,10
37705,36.22574566,-84.01219339,10
37327,51.37854055,10.3295925,10
38059,46.0632896,11.5239053,10
37809,48.81228781,14.92857648,10
38486,52.64288875,11.12819084,10
37137,35.87942783,-87.48146766,10
38261,36.42765271,-89.06785922,10
38563,36.17978097,-85.96098733,9
38559,35.84557552,-85.51110121,9
38581,35.76367157,-85.65968042,9
37341,49.05389357,14.42333054,9
37367,35.63217668,-85.17060043,9
38260,45.3384894,5.130837,9
37886,35.7832186,-83.8337523,9
38063,45.73871557,10.92619374,9
37362,35.03805206,-84.73566693,9
37853,35.99852641,129.3414715,9
37760,36.1102102,-83.47956108,9
38075,45.99558316,10.83845041,8
37934,35.88163392,-84.15864523,8
37339,51.42222185,10.3613793,8
24202,36.64240732,-82.15994107,8
37861,49.10770497,15.13182056,8
37146,36.3895711,127.9541374,8
37077,51.5597925,9.9359745,8
37779,36.19673663,-83.76052554,8
37404,35.0300949,-85.25505845,8
37187,40.9241505,-5.6912591,8
38487,35.7009454,-87.2276681,8
37710,36.0603627,129.3717271,8
37680,36.02445544,129.3436974,8
37011,49.00006813,14.4506921,7
38368,35.50695742,-88.36116804,7
38363,35.65214218,-88.11449292,7
38225,36.304447,-88.68756316,7
38131,35.85730564,129.2059164,7
38351,55.78654592,24.11951162,7
38058,35.44746853,-89.8085654,7
37748,35.9064198,-84.4617027,7
37335,35.05070767,-86.42508723,7
37313,35.36428846,-85.71375206,6
37098,35.8949448,-87.32169986,6
37023,45.520604,11.02149018,6
37864,35.91311169,-83.59010533,6
37096,35.6096482,-87.8375696,6
38425,49.10772226,14.01220406,6
37048,36.49458421,-86.60451741,6
37402,35.04555916,-85.31231004,6
38456,35.33407331,-87.28465368,6
38463,35.05143296,-87.60621574,6
38076,46.035998,11.00365097,6
38340,45.27538105,5.649178515,6
37709,36.05849409,129.3766631,6
